id,pIC50,ic50,smiles,source_id,is_measured,is_active_no_ic50,is_inactive,is_assigned_label,is_valid_smiles,canonical_smiles
CHEMBL5278336,6.1,800,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CHEMBL5278336,True,False,False,False,True,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1
CHEMBL1410015,3.84,143400,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,CHEMBL1410015,True,False,False,False,True,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
CHEMBL5278336,4.34,46000,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CHEMBL5278336,True,False,False,False,True,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1
CHEMBL2012938,5.23,5900,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,CHEMBL2012938,True,False,False,False,True,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1
CHEMBL1923233,5.52,3000,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,CHEMBL1923233,True,False,False,False,True,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1
CHEMBL5276142,4.67,21460,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,CHEMBL5276142,True,False,False,False,True,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1
CHEMBL5278336,5.15,7000,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CHEMBL5278336,True,False,False,False,True,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1
CHEMBL1493046,4.54,29140,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,CHEMBL1493046,True,False,False,False,True,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1
CHEMBL4635160,5.0,10000,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,CHEMBL4635160,True,False,False,False,True,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C
CHEMBL5410606,5.1,8000,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CHEMBL5410606,True,False,False,False,True,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O
CHEMBL5267683,3.7,200000,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,CHEMBL5267683,True,False,False,False,True,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3
CHEMBL4129140,3.7,200000,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,CHEMBL4129140,True,False,False,False,True,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1
51031028,2.5,-1,CS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=C(S2)SC3=C(C=NC=C3Cl)Cl)C#N,51031028,False,False,True,True,True,CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1
11222830,5.52,3000,CCC[C@@H](C1=CC=CC=C1)NC(=O)/C(=C/C2=NC(=CC=C2)Br)/C#N,11222830,True,False,False,False,True,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1
675434,5.4,4000,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C(=O)CN3CCCC3,675434,True,False,False,False,True,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
443118,2.5,-1,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C,443118,False,False,True,True,True,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O
10216098,2.5,-1,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2,10216098,False,False,True,True,True,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1
49864402,2.5,-1,COC1=CC=C(C=C1)C(=O)ONC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,49864402,False,False,True,True,True,COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1
25191039,5.0,0,CC1=C(C(=C(C(=C1C2=CC=C(C=C2)O)O)O)C3=CC=C(C=C3)O)C,25191039,False,True,False,True,True,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1
70691637,5.0,0,CC1=C(C(=C(C(=C1C2=CC=C(C=C2)O)O)O)C3=CC=C(C=C3)OCC4=CN(N=N4)CCCCCCNC(=O)CCCC[C@H]5[C@@H]6[C@H](CS5)NC(=O)N6)C,70691637,False,True,False,True,True,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1
73353602,2.5,-1,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCCCCN3C=C(N=N3)COC4=CC=CC=C4)NC(=O)N2,73353602,False,False,True,True,True,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1
145963683,5.0,0,C=CC(=O)NC1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3)N4CCN(CC4)CCOCCOCCOCCNC(=O)CCCC[C@H]5[C@@H]6[C@H](CS5)NC(=O)N6,145963683,False,True,False,True,True,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl
46830074,3.7,200000,CC(=O)C1=C(C(=O)N(C1C2=CC=C(C=C2)Br)CCC3=CC(=C(C=C3)Cl)Cl)O,46830074,True,False,False,False,True,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1
138609936,5.0,10000,C[C@H]1CNCC[C@H]1OC2=C(C=C(C=C2C)Cl)C3=C4C(=NC=C3)C=C(S4)CN5C(=O)C6C(C5=O)C6(C)C,138609936,True,False,False,False,True,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C
168007234,2.5,-1,CC(C)C[C@@H](C(=O)NC1=NN=C(S1)CC2=CC=C(C=C2)C#N)NC(=O)C3(CCCCC3)C(F)(F)F,168007234,False,False,True,True,True,CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1
11563133,4.0,0,C1=CC=C(C=C1)CC(=O)OC2=C(C(=C(C(=C2C3=CC=C(C=C3)O)O)O)C4=CC=C(C=C4)O)OC(=O)CC5=CC=CC=C5,11563133,False,True,False,True,True,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1
