id,canonical_smiles,pIC50,label_origin,is_measured,is_assigned_label,row_id,mw,logp,tpsa,hbd,hba,rot,rings,hac,fsp3,bertz,balaban,chi0v,chi1v,chi2v,kappa1,kappa2,kappa3
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,6.1,measured,True,False,0,437.90500000000014,2.1177,116.66999999999999,2.0,5.0,6.0,3.0,29.0,0.3157894736842105,985.5096071763892,1.6411236180744513,16.987608298224345,10.806162449332236,9.05983894129375,21.224438533200644,8.89388714488665,5.1136580131411895
CHEMBL1410015,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,3.84,measured,True,False,1,300.377,3.5117400000000023,25.240000000000002,0.0,2.0,4.0,3.0,22.0,0.3888888888888889,681.8578733534312,1.8866308917689079,13.102925206353875,7.764880937865814,6.003062240498553,14.974961174872123,6.048272534848685,2.8348347556817526
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,4.34,measured,True,False,2,437.90500000000014,2.1177,116.66999999999999,2.0,5.0,6.0,3.0,29.0,0.3157894736842105,985.5096071763892,1.6411236180744513,16.987608298224345,10.806162449332236,9.05983894129375,21.224438533200644,8.89388714488665,5.1136580131411895
CHEMBL2012938,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.23,measured,True,False,3,562.5740000000002,6.139200000000007,133.52,4.0,8.0,8.0,5.0,42.0,0.058823529411764705,1582.9136355263408,1.7056429862252862,22.228365951641646,12.997487239902355,9.47210152563624,27.793551454691336,12.180375558507427,6.180137001768982
CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,5.52,measured,True,False,4,384.27700000000004,4.408680000000003,65.78,1.0,3.0,6.0,2.0,24.0,0.21052631578947367,765.6814098783693,2.197095183290181,14.954352747857067,8.531681192952748,6.092875973741878,17.896900949356198,8.994776555266391,5.0356997423090375
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured,True,False,5,337.42300000000006,2.605220000000001,69.26,1.0,4.0,4.0,3.0,25.0,0.4,806.7021913058135,1.8092134480354274,14.696738193534191,8.624200969786065,6.7093898780003665,17.404560509149317,7.219885226461616,3.6544997783428324
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured,True,False,6,437.90500000000014,2.1177,116.66999999999999,2.0,5.0,6.0,3.0,29.0,0.3157894736842105,985.5096071763892,1.6411236180744513,16.987608298224345,10.806162449332236,9.05983894129375,21.224438533200644,8.89388714488665,5.1136580131411895
CHEMBL1493046,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,4.54,measured,True,False,7,314.404,3.9018400000000035,25.240000000000002,0.0,2.0,4.0,3.0,23.0,0.42105263157894735,696.9048465968932,1.845099436274409,13.810031987540423,8.264880937865813,6.356615631091827,15.936818195152881,6.66762279731914,3.370368871400345
CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,5.0,measured,True,False,8,524.0860000000004,5.442920000000005,71.53,1.0,6.0,5.0,6.0,36.0,0.4642857142857143,1376.182873335886,1.35578195050638,22.502389900263598,13.764946828450793,12.623862142880697,23.89090090352384,8.536705531815588,3.74690305753967
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured,True,False,9,429.8600000000001,2.3921,110.52000000000001,2.0,5.0,8.0,3.0,30.0,0.23809523809523808,1159.0772686514636,1.882428761497458,16.978406376456583,9.565087493684452,6.94484699500563,21.322018502389824,9.405173832979589,4.773225734326349
CHEMBL5267683,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,3.7,measured,True,False,10,399.3210000000003,5.392900000000004,41.99,1.0,2.0,4.0,4.0,27.0,0.2727272727272727,999.3605653409876,1.4981800245205665,16.40734129546585,10.008845798891171,7.736835306582112,18.272027594712302,7.872688613764991,3.945559529259504
CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,3.7,measured,True,False,11,469.16200000000003,5.283000000000003,57.61,1.0,3.0,5.0,3.0,27.0,0.2,940.7430521730047,1.9151172301519463,17.47568733799704,9.786067203358872,7.999639608051694,19.928261528490467,8.047542797084597,4.052298032848137
51031028,CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,2.5,assigned,False,True,12,484.41100000000006,5.128580000000002,99.91999999999999,1.0,7.0,5.0,3.0,29.0,0.05555555555555555,1213.2226426795683,1.8275779899760205,18.60264539894902,12.090696934799647,10.869958828597959,21.614855692489524,8.731680558089286,5.0966862751837985
11222830,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,5.52,measured,True,False,13,384.277,4.408680000000003,65.78,1.0,3.0,6.0,2.0,24.0,0.21052631578947367,765.6814098783693,2.1970951832901813,14.954352747857067,8.53168119295275,6.092875973741878,17.896900949356198,8.994776555266391,5.03569974230904
675434,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,5.4,measured,True,False,14,300.3770000000001,3.5117400000000023,25.240000000000002,0.0,2.0,4.0,3.0,22.0,0.3888888888888889,681.8578733534312,1.8866308917689076,13.102925206353877,7.764880937865815,6.003062240498554,14.974961174872123,6.048272534848685,2.8348347556817526
443118,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,2.5,assigned,False,True,15,383.53300000000013,1.9420000000000004,104.37,3.0,4.0,13.0,0.0,27.0,0.8,491.6184955985851,5.135402799828933,17.632628682925947,9.932533012663077,7.966774757480808,25.08,13.279021415237633,11.407379804851962
10216098,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,2.5,assigned,False,True,16,396.48700000000014,3.2539000000000016,84.50000000000001,2.0,4.0,10.0,2.0,29.0,0.34782608695652173,777.9795481747359,1.9293189494817091,16.83721727406986,9.744027963807204,7.329090586461136,22.142403136259446,11.638515651212721,8.170378017313988
49864402,COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,2.5,assigned,False,True,17,505.5270000000002,2.5371000000000006,132.05999999999997,3.0,7.0,10.0,3.0,37.0,0.18518518518518517,1185.641219783833,1.505029718750301,20.139312414651073,11.37246311903255,7.809440962691535,26.739670744777783,13.88295751768387,9.021135378198979
25191039,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned,False,True,18,322.36000000000007,4.459840000000004,80.92,4.0,4.0,2.0,3.0,24.0,0.1,788.9122414708702,2.2551458361421015,13.407656535516843,7.537161601091754,5.790961644183909,15.7441906572702,5.813100822271135,2.5199833552521014
70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,5.0,assigned,False,True,19,728.916,6.327140000000006,170.85999999999999,6.0,9.0,17.0,6.0,52.0,0.4358974358974359,1818.2200622078806,0.859123181337162,30.546255920297,19.145616835275995,14.934067014879389,36.866625884265396,17.07056867834153,8.926902185913614
73353602,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,2.5,assigned,False,True,20,500.66900000000015,3.259500000000001,110.17000000000002,3.0,6.0,15.0,4.0,35.0,0.6,940.2931849088526,0.9640870792021835,20.97256432622826,13.742745634457185,10.478654529632273,25.346121925456465,13.368334550766983,8.157381628878168
145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,5.0,assigned,False,True,21,851.4749999999997,4.755500000000003,183.34,6.0,13.0,24.0,6.0,59.0,0.4878048780487805,1836.3181531116704,0.75840598261287,34.83045797602525,21.62020338044035,15.988753888383652,43.91642197237839,23.220626534353443,13.969490477896374
46830074,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,3.7,measured,True,False,22,469.1620000000002,5.283000000000003,57.61,1.0,3.0,5.0,3.0,27.0,0.2,940.7430521730045,1.915117230151946,17.47568733799704,9.786067203358872,7.999639608051691,19.928261528490467,8.047542797084597,4.052298032848137
138609936,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,5.0,measured,True,False,23,524.0860000000002,5.442920000000005,71.53,1.0,6.0,5.0,6.0,36.0,0.4642857142857143,1376.1828733358861,1.3557819505063802,22.5023899002636,13.764946828450793,12.62386214288069,23.890900903523846,8.536705531815592,3.7469030575396727
168007234,CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,2.5,assigned,False,True,24,507.5820000000003,4.982780000000004,107.77000000000001,2.0,6.0,8.0,3.0,35.0,0.5416666666666666,1070.064123585195,1.6957512950853233,20.430624741290462,12.35488842053485,10.333901969130498,26.602076124567475,11.16,6.5686570924666166
11563133,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,4.0,assigned,False,True,25,562.5740000000003,6.139200000000009,133.52,4.0,8.0,8.0,5.0,42.0,0.058823529411764705,1582.9136355263408,1.7056429862252855,22.228365951641646,12.997487239902359,9.47210152563625,27.793551454691336,12.180375558507427,6.180137001768982
